;Semana;
;;
Segunda-Feira;Sopa;
;Prato e Vegetais;
;;
;Sobremesa;
;Pão;
;0;
;;
Terça-Feira;Sopa;
;Prato e Vegetais;
;0;
;Sobremesa;
;Pão;
;0;
;;
Quarta-Feira;Sopa;
;Prato e Vegetais;
;0;
;Sobremesa;
;Pão;
;0;
;;
Quinta-Feira;Sopa;
;Prato e Vegetais;
;0;
;Sobremesa;
;Pão;
;0;
;;
Sexta-Feira;Sopa;
;Prato e Vegetais;
;0;
;Sobremesa;
;Pão;
;;
;Semana 1;1 a 5 de janeiro
;;
Segunda-Feira;Sopa;
;Prato;
;Salada;
;Sobremesa;
;Pão;
;0;
;;
Terça-Feira;Sopa;
;Prato;
;Salada;
;Sobremesa;
;Pão;
;;
;;
Quarta-Feira;Sopa;Saloia
;Prato;Salada de Feijão frade, batata e legumes
;Salada;Alface, beterraba e tomate
;Sobremesa;Fruta da época (min. 3 variedades) 
;Pão;Pão de mistura 
;;
;;
Quinta-Feira;Sopa;Creme de legumes
;Prato;Estufado de lentilhas e legumes, arroz
;Salada;Tomate, milho e cebola
;Sobremesa;Fruta da época (min. 3 variedades) 
;Pão;Pão de mistura 
;;
;;
Sexta-Feira;Sopa;Grão com couve lombarda
;Prato;Almondegas de ervilhas  com batata assada com salsa e coentros
;Salada;Alface, beterraba e cenoura
;Sobremesa;Fruta da época (min. 3 variedades) / Fruta assada
;Pão;Pão de mistura 
;;
;Semana 2;8 a 12 de janeiro 
;;
Segunda-Feira;Sopa;Couve branca com cenoura ripada
;Prato;Bolonhesa de soja com esparguete  
;Salada;Alface, cebola tomate
;Sobremesa;Fruta da época (min. 3 variedades) 
;Pão;Pão de mistura 
;;
;;
Terça-Feira;Sopa;Feijão vermelho com hortaliça
;Prato;Arroz de lentilhas/ feijão com legumes mediterrânicos assados
;Salada;Alface, milho e tomate
;Sobremesa;Fruta da época (min. 3 variedades) 
;Pão;Pão de mistura 
;;
;;
Quarta-Feira;Sopa;Creme de abóbora com espinafres
;Prato;Espirais à Siciliana com grão   
;Salada;Alface, pepino e tomate
;Sobremesa;Fruta da época (min. 3 variedades) 
;Pão;Pão de mistura 
;;
;;
Quinta-Feira;Sopa;Caldo verde
;Prato;Feijoada de cogumelos e arroz branco
;Salada;Alface, beterraba e milho
;Sobremesa;Fruta da época (min. 3 variedades)/ Fruta cozida
;Pão;Pão de mistura 
;;
;;
Sexta-Feira;Sopa;Sopa da horta
;Prato;Jardineira de legumes e ervilhas 
;Salada;Cenoura, couve roxa e pepino
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;Semana 3;15 a 19 de janeiro
;;
Segunda-Feira;Sopa;Juliana
;Prato;Empadão de lentilhas e legumes com arroz
;Salada;Alface, couve roxa e pepino
;Sobremesa;Fruta da época (min. 3 variedades) / Fruta assada
;Pão;Pão de mistura 
;;
;;
Terça-Feira;Sopa;Espinafres
;Prato;Soja à Portuguesa 
;Salada;Alface, milho e tomate
;Sobremesa;Fruta da época (min. 3 variedades) 
;Pão;Pão de mistura 
;;
;;
Quarta-Feira;Sopa;Lavrador
;Prato;Salada de 3 feijões com batata
;Salada;Alface, beterraba e milho
;Sobremesa;Fruta da época (min. 3 variedades)/ Gelatina
;Pão;Pão de mistura 
;;
;;
Quinta-Feira;Sopa;Creme de ervilhas com couve flor
;Prato;Esparguete de cogumelos e favas  com mistura de legumes
;Salada;Alface, cenoura e couve roxa
;Sobremesa;Fruta da época (min. 3 variedades) 
;Pão;Pão de mistura 
;;
;;
Sexta-Feira;Sopa;Feijão-verde
;Prato;Estufado de grão com legumes e batata cozida
;Salada;Alface, pepino e tomate
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;Semana 4;22 a2 6 de janeiro
;;
Segunda-Feira;Sopa;Abóbora com massinhas 
;Prato;Hamburgueres de feijão e pimentos , Massa espiral  com legumes salteados
;Salada;Alface, milho e pepino
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;;
Terça-Feira;Sopa;Grão com nabiças
;Prato;Tomates recheados com ervilhas e legumes, Batata cozida/ corada
;Salada;Alface, tomate e cebola
;Sobremesa;Fruta da época (min. 3 variedades)/ Fruta cozida
;Pão;Pão de mistura 
;;
;;
Quarta-Feira;Sopa;Creme de cenoura com couve branca
;Prato;Feijoada vegetariana
;Salada;Alface, couve-roxa e pepino
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;;
Quinta-Feira;Sopa;Feijão branco c/ espinafres
;Prato;Grão-de-bico estufado com caril e batata
;Salada;Alface, beterraba e cenoura
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura
;;
;;
Sexta-Feira;Sopa;Legumes com ervilhas
;Prato;Lentilhas estufadas com legumes , Arroz de cenoura
;Salada;Cenoura, couve roxa e tomate
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;Semana 5;29 de janeiro a 2 de fevereiro
;;
Segunda-Feira;Sopa;Juliana
;Prato;Salada da Terra (Feijão frade com massa espiral e legumes) 
;Salada;Alface, tomate e cenoura
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;;
Terça-Feira;Sopa;Minestrone
;Prato;Arroz de ervilhas com cogumelos e couve lombarda
;Salada;Alface, couve em juliana e milho
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;;
Quarta-Feira;Sopa;Feijão vermelho com couve lombarda
;Prato;Almôndegas de lentilhas com molho de tomate , Batata cozidas
;Salada;Alface, milho e tomate
;Sobremesa;Fruta da época (min. 3 variedades) / Fruta assada
;Pão;Pão de mistura 
;;
;;
Quinta-Feira;Sopa;Macedónia de legumes
;Prato;Esparguete com grão, curgete, tomate e feijão verde 
;Salada;Alface, beterraba e pepino
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;;
Sexta-Feira;Sopa;Creme de alho francês com couve-flor
;Prato;Estufado de soja com legumes  e arroz de feijão
;Salada;Alface, cebola e tomate
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;Semana 6;5 a 9 de fevereiro
;;
Segunda-Feira;Sopa;Alho francês com curgete
;Prato;Legumes estufados com lentilhas e cogumelos, Esparguete 
;Salada;Alface, beterraba e pepino
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;;
Terça-Feira;Sopa;Creme de ervilhas e cenoura
;Prato;Assado de batatas com feijão manteiga e legumes
;Salada;Cenoura, milho e tomate
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;;
Quarta-Feira;Sopa;Couve branca
;Prato;Favas com pimentos e coentros, arroz de cenoura
;Salada;Alface, cenoura e curgete
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;;
Quinta-Feira;Sopa;Espinafres com cenoura
;Prato;Soja em molho de tomate  e salada russa
;Salada;Alface, cenoura e couve-roxa
;Sobremesa;Fruta da época (min. 3 variedades)/ Fruta cozida
;Pão;Pão de mistura 
;;
;;
Sexta-Feira;Sopa;Agrião
;Prato;Rancho vegetariano 
;Salada;Tomate, alface e beterraba
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;Semana 7;12 a 16  de fevereiro
;;
Segunda-Feira;Sopa;
;Prato;
;Salada;Carnaval
;Sobremesa;
;Pão;
;;
;;
Terça-Feira;Sopa;
;Prato;
;Salada;Carnaval
;Sobremesa;
;Pão;
;;
;;
